n_over_m,sparsity,frequency,condition,seed,feature,importance,imp_rank,w_norm,D_i,I_i,late_top1evr,late_pr
8,0.8,0.2,input_at,1,7,3.82721209526062,7,1.4252443313598633,0.6256827116012573,0.11048147827386856,0.3198525905609131,5.910384178161621
8,0.8,0.2,input_at,1,9,3.100041389465332,9,1.1772980690002441,0.4462038576602936,0.04480336979031563,0.44478413462638855,4.101296424865723
8,0.8,0.2,input_at,1,10,2.7900373935699463,10,1.4754983186721802,0.44751647114753723,0.058669090270996094,0.3534785211086273,5.308568954467773
8,0.8,0.2,input_at,1,11,2.511033535003662,11,1.4755403995513916,0.4782089293003082,0.029219472780823708,0.3734487295150757,5.0484843254089355
8,0.8,0.2,input_at,1,12,2.25993013381958,12,1.4784197807312012,0.48042380809783936,0.028785213828086853,0.3747267425060272,5.043437480926514
8,0.8,0.2,input_at,1,13,2.0339369773864746,13,1.4698035717010498,0.4454767107963562,0.05726519599556923,0.365949809551239,5.106171131134033
8,0.8,0.2,input_at,1,14,1.8305432796478271,14,0.3584538996219635,0.02736605331301689,0.29879528284072876,0.25168338418006897,6.923603057861328
8,0.8,0.2,input_at,1,15,1.6474888324737549,15,1.2515208721160889,0.4118049442768097,0.0779966488480568,0.37153854966163635,5.019673824310303
8,0.8,0.2,input_at,1,16,1.482740044593811,16,0.49769675731658936,0.05008804053068161,0.3317575454711914,0.25405848026275635,6.984582424163818
8,0.8,0.2,input_at,1,17,1.3344659805297852,17,0.6685847043991089,0.09255923330783844,0.3120952248573303,0.2937827706336975,6.345136642456055
8,0.8,0.2,input_at,1,18,1.2010194063186646,18,0.3511822521686554,0.024912916123867035,0.33753854036331177,0.23680895566940308,7.164200782775879
8,0.8,0.2,input_at,1,19,1.0809173583984375,19,0.6045127511024475,0.0693276897072792,0.385281503200531,0.275909423828125,6.625097274780273
8,0.8,0.2,input_at,1,39,0.1314142495393753,39,0.3410552144050598,0.01836179569363594,0.6704785227775574,0.21579940617084503,7.441043853759766
8,0.8,0.2,input_at,1,46,0.06285501271486282,46,0.7425552010536194,0.0858016163110733,0.6810643672943115,0.23265588283538818,7.165408134460449
8,0.8,0.2,input_at,1,55,0.024351315572857857,55,0.3387010097503662,0.017770299687981606,0.6838425397872925,0.22471033036708832,7.2962517738342285
8,0.8,0.2,input_at,1,56,0.021916182711720467,56,0.3169728219509125,0.015579378232359886,0.6836605072021484,0.2208559811115265,7.382979869842529
8,0.8,0.2,input_at,1,57,0.019724562764167786,57,0.561791181564331,0.04911387711763382,0.681962788105011,0.2285994291305542,7.265775680541992
