n_over_m,sparsity,condition,seed,feature,w_norm,I_i,D_i,self_drop,collateral,n_represented
2,0.8,baseline,4,3,1.0888447761535645,0.012105332687497139,0.9440993666648865,1.1217867136001587,-1.062000410456676e-05,17
2,0.8,baseline,4,4,1.2602016925811768,0.03961336985230446,0.7168557047843933,1.2240362167358398,0.00017442199168726802,17
2,0.8,baseline,4,5,1.2176607847213745,0.05331537500023842,0.4899844527244568,1.0228025913238525,0.06396851688623428,17
2,0.8,baseline,4,6,1.4749634265899658,0.06183646246790886,0.4965935945510864,1.0660635232925415,0.06185603514313698,17
2,0.8,baseline,4,7,1.423722743988037,0.0555356927216053,0.5068727731704712,1.0010006427764893,0.06363438814878464,17
2,0.8,baseline,4,8,1.1879948377609253,0.05512846261262894,0.47314217686653137,0.9799358248710632,0.06383012235164642,17
2,0.8,baseline,4,9,1.3055521249771118,0.05915996804833412,0.4605966806411743,1.0124591588974,0.06424642354249954,17
2,0.8,baseline,4,10,1.4493213891983032,0.061756640672683716,0.4794842004776001,0.9915790557861328,0.06656084954738617,17
2,0.8,baseline,4,11,1.5213263034820557,0.05731164291501045,0.4904445707798004,1.0281987190246582,0.06287730485200882,17
2,0.8,baseline,4,12,1.4515020847320557,0.0557677187025547,0.49896422028541565,1.0459707975387573,0.06304576992988586,17
2,0.8,baseline,4,13,0.8962888717651367,0.17415814101696014,0.5752670764923096,1.3007214069366455,0.00020977196982130408,17
2,0.8,baseline,4,14,1.5027414560317993,0.05735881254076958,0.4784111976623535,1.0063894987106323,0.06419938057661057,17
2,0.8,baseline,4,15,1.3695579767227173,0.05552301183342934,0.46911460161209106,1.0197319984436035,0.06248552352190018,17
2,0.8,baseline,4,16,1.4268429279327393,0.05571184679865837,0.48195382952690125,1.0103836059570312,0.06527882069349289,17
2,0.8,input_at,0,0,0.943175196647644,0.07652323693037033,0.8380522131919861,1.1576571464538574,7.706991891609505e-05,15
2,0.8,input_at,0,1,1.1406160593032837,0.06382641941308975,0.489143043756485,1.0482994318008423,0.07253886759281158,15
2,0.8,input_at,0,2,1.0738941431045532,0.034704696387052536,0.8156402707099915,1.1456807851791382,0.0003135810256935656,15
2,0.8,input_at,0,3,1.0392886400222778,0.01502937264740467,0.818463921546936,1.1929618120193481,3.876860864693299e-05,15
2,0.8,input_at,0,4,1.2517989873886108,0.06809508800506592,0.4839845597743988,0.9903196096420288,0.07365946471691132,15
2,0.8,input_at,0,5,1.0525010824203491,0.03327738121151924,0.8214511275291443,1.1567977666854858,0.00018725403060670942,15
2,0.8,input_at,0,6,1.0907301902770996,0.0919598788022995,0.7111213803291321,1.2495121955871582,0.00015962122415658087,15
2,0.8,input_at,0,7,1.251704454421997,0.06811561435461044,0.48389914631843567,1.0328497886657715,0.07061754167079926,15
