n,m,n_over_m,sparsity,condition,seed,feature,w_norm,represented,D_groundtruth,top1_evr,pr,r_set1,r_set2,sat_set1,sat_set2
40,10,4,0.99,input_at,4,33,0.033976707607507706,0,0.00021118007134646177,0.33344197273254395,4.96333646774292,3.778088092803955,3.778088092803955,1.0,1.0
40,10,4,0.99,input_at,4,34,0.033204905688762665,0,0.00022166151029523462,0.2892454266548157,5.990698337554932,3.9418702125549316,3.9418702125549316,1.0,1.0
40,10,4,0.99,input_at,4,35,0.024450717493891716,0,0.00010295533138560131,0.3969348073005676,4.3048787117004395,3.5409669876098633,3.5409669876098633,1.0,1.0
40,10,4,0.99,input_at,4,36,0.02612534537911415,0,0.0001400568726239726,0.2873365879058838,6.047875881195068,4.025746822357178,4.025746822357178,1.0,1.0
40,10,4,0.99,input_at,4,37,0.033093515783548355,0,0.00021691859001293778,0.3892933428287506,4.381358623504639,2.4516000747680664,2.4516000747680664,1.0,1.0
40,10,4,0.99,input_at,4,38,0.032630279660224915,0,0.00019137916387990117,0.30650395154953003,5.107388973236084,3.4356274604797363,3.4356274604797363,1.0,1.0
40,10,4,0.99,input_at,4,39,0.024110877886414528,0,0.00012267277634236962,0.23817898333072662,6.134147644042969,3.248671054840088,3.248671054840088,1.0,1.0
40,10,4,0.99,lat,0,0,2.7394726276397705,1,0.4823693633079529,0.8248702883720398,1.4590511322021484,0.2216821014881134,0.7690207958221436,0.0,0.0
40,10,4,0.99,lat,0,1,2.5407028198242188,1,0.44539374113082886,0.8689705729484558,1.318354845046997,0.20300014317035675,0.7174990177154541,0.0,0.0
40,10,4,0.99,lat,0,2,2.3658878803253174,1,0.4441586434841156,0.8336341381072998,1.429776668548584,0.21071983873844147,0.8401978015899658,0.0,0.0
40,10,4,0.99,lat,0,3,2.0300133228302,1,0.28647124767303467,0.7607434391975403,1.6960408687591553,0.19157986342906952,0.7158768773078918,0.0,0.0
40,10,4,0.99,lat,0,4,1.8464555740356445,1,0.32549965381622314,0.7553243041038513,1.7148853540420532,0.17091618478298187,0.6432898640632629,0.0,0.0
40,10,4,0.99,lat,0,5,1.868394136428833,1,0.3093743920326233,0.7404085993766785,1.7801384925842285,0.15678837895393372,0.6025960445404053,0.0,0.0
40,10,4,0.99,lat,0,6,2.243739128112793,1,0.44568535685539246,0.8474801182746887,1.3825875520706177,0.21121975779533386,0.7471376061439514,0.0,0.0
40,10,4,0.99,lat,0,7,2.0318150520324707,1,0.318025141954422,0.7067777514457703,1.9254685640335083,0.17794269323349,0.7174921035766602,0.0,0.0
40,10,4,0.99,lat,0,8,2.299236297607422,1,0.413994163274765,0.816878080368042,1.4859657287597656,0.18134503066539764,0.6692294478416443,0.0,0.0
40,10,4,0.99,lat,0,9,1.7859230041503906,1,0.30193033814430237,0.6421737670898438,2.315831184387207,0.16715161502361298,0.640288233757019,0.0,0.0
40,10,4,0.99,lat,0,10,2.3599517345428467,1,0.3957211375236511,0.8328348994255066,1.4316397905349731,0.17414818704128265,0.6820241212844849,0.0,0.0
40,10,4,0.99,lat,0,11,1.8118605613708496,1,0.2898158133029938,0.7838971614837646,1.6066445112228394,0.2109074592590332,0.7553858160972595,0.0,0.0
40,10,4,0.99,lat,0,12,1.9113068580627441,1,0.27303987741470337,0.7165679931640625,1.892196536064148,0.1831883192062378,0.6514314413070679,0.0,0.0
40,10,4,0.99,lat,0,13,2.013493299484253,1,0.3180140554904938,0.7361258864402771,1.8080040216445923,0.17552225291728973,0.6258917450904846,0.0,0.0
40,10,4,0.99,lat,0,14,1.6123441457748413,1,0.2283041626214981,0.7820234894752502,1.615836501121521,0.14361293613910675,0.5584501624107361,0.0,0.0
40,10,4,0.99,lat,0,15,1.81377375125885,1,0.27866804599761963,0.7793551087379456,1.6230216026306152,0.17470042407512665,0.6178836822509766,0.0,0.0
40,10,4,0.99,lat,0,16,1.7927417755126953,1,0.24539029598236084,0.8190897107124329,1.4772599935531616,0.16361819207668304,0.6262648105621338,0.0,0.0
40,10,4,0.99,lat,0,17,1.7208836078643799,1,0.19751785695552826,0.7378602027893066,1.790447473526001,0.17630766332149506,0.6271505355834961,0.0,0.0
40,10,4,0.99,lat,0,18,1.875745415687561,1,0.2641601264476776,0.878485918045044,1.2913771867752075,0.18944290280342102,0.7133137583732605,0.0,0.0
40,10,4,0.99,lat,0,19,1.9201403856277466,1,0.2890569567680359,0.7299385070800781,1.8350704908370972,0.2038668692111969,0.7449811697006226,0.0,0.0
40,10,4,0.99,lat,0,20,1.7761142253875732,1,0.2725098431110382,0.842229425907135,1.3994171619415283,0.17545102536678314,0.6337979435920715,0.0,0.0
40,10,4,0.99,lat,0,21,1.9140225648880005,1,0.26745137572288513,0.7130165696144104,1.9195271730422974,0.2224692851305008,0.6700562834739685,0.0,0.0
40,10,4,0.99,lat,0,22,2.0052504539489746,1,0.3296286463737488,0.7758255004882812,1.637554407119751,0.1903199553489685,0.7088936567306519,0.0,0.0
40,10,4,0.99,lat,0,23,1.6432580947875977,1,0.23565737903118134,0.6502242088317871,2.2462871074676514,0.15972204506397247,0.6239465475082397,0.0,0.0
40,10,4,0.99,lat,0,24,1.7778836488723755,1,0.22433072328567505,0.6960771679878235,1.9828472137451172,0.16324684023857117,0.6199560761451721,0.0,0.0
40,10,4,0.99,lat,0,25,1.6544665098190308,1,0.23691977560520172,0.7334471940994263,1.8216527700424194,0.1576203554868698,0.6302546858787537,0.0,0.0
40,10,4,0.99,lat,0,26,1.8807904720306396,1,0.25114065408706665,0.742063045501709,1.7717714309692383,0.18655037879943848,0.6879082322120667,0.0,0.0
40,10,4,0.99,lat,0,27,1.6920738220214844,1,0.2002044916152954,0.7161439061164856,1.888533592224121,0.19180499017238617,0.7808046936988831,0.0,0.0
40,10,4,0.99,lat,0,28,1.9204111099243164,1,0.27332571148872375,0.7682146430015564,1.6675257682800293,0.21577367186546326,0.8717466592788696,0.0,0.0
40,10,4,0.99,lat,0,29,1.4271575212478638,1,0.15403462946414948,0.6203226447105408,2.4264180660247803,0.24625934660434723,0.9779449701309204,0.0,0.0
40,10,4,0.99,lat,0,30,1.524120569229126,1,0.1764112114906311,0.6814812421798706,2.065134048461914,0.1856093555688858,0.680777370929718,0.0,0.0
40,10,4,0.99,lat,0,31,1.1385265588760376,1,0.11737383902072906,0.5287452936172485,3.159235715866089,0.2765415906906128,1.2215025424957275,0.0,0.0
