n,m,n_over_m,sparsity,condition,seed,recon_fvu,interference,sae_fvu_clean,sae_fvu_adv,sae_l0_clean,sae_l0_adv,sae_mono,sae_k,sae_dict,mean_D
80,10,8,0.8,baseline,4,0.22981861832624748,0.31704041361808777,0.005348730832338333,0.008392687886953354,15.9676513671875,15.9698486328125,0.8064895868301392,16,320,0.11557851731777191
80,10,8,0.8,input_at,0,0.5132024141605179,0.20268426835536957,0.011688798666000366,0.012357421219348907,15.9024658203125,15.8912353515625,0.8135908246040344,16,320,0.090138278901577
80,10,8,0.8,input_at,1,0.43126575590761,0.5078303217887878,0.005906586069613695,0.0063589089550077915,15.924072265625,15.9202880859375,0.8852148056030273,16,320,0.09559569507837296
80,10,8,0.8,input_at,2,0.5152463839893507,0.2591998279094696,0.00696188397705555,0.00810801237821579,15.9620361328125,15.9609375,0.8091441988945007,16,320,0.0732412189245224
80,10,8,0.8,input_at,3,0.3691728818466076,0.49120286107063293,0.00821793731302023,0.009927165694534779,15.9461669921875,15.9412841796875,0.821490466594696,16,320,0.09642548859119415
80,10,8,0.8,input_at,4,0.3280901785439267,0.31552767753601074,0.006201758980751038,0.007474604062736034,15.9427490234375,15.9444580078125,0.8415462374687195,16,320,0.09945006668567657
80,10,8,0.8,lat,0,0.3384653663733134,0.4342062175273895,0.012702894397079945,0.014985467307269573,15.957763671875,15.9619140625,0.8096133470535278,16,320,0.10738398134708405
80,10,8,0.8,lat,1,0.26187596538443025,0.25212663412094116,0.010408964939415455,0.010685443878173828,15.9761962890625,15.97607421875,0.8031773567199707,16,320,0.11396126449108124
80,10,8,0.8,lat,2,0.32082161780363466,0.2615300118923187,0.016896558925509453,0.01811087131500244,15.9561767578125,15.960205078125,0.8308303952217102,16,320,0.11528565734624863
80,10,8,0.8,lat,3,0.3003451725270188,0.14923769235610962,0.0067845857702195644,0.006445598788559437,15.83740234375,15.838134765625,0.8246512413024902,16,320,0.12057103961706161
80,10,8,0.8,lat,4,0.2609496244225648,0.5876423716545105,0.010774769820272923,0.012157770805060863,15.97509765625,15.9791259765625,0.8626211881637573,16,320,0.12236068397760391
80,10,8,0.9,baseline,0,0.19599811249875346,0.3151170611381531,0.011788880452513695,0.015116405673325062,7.9998779296875,8.0,0.8595306277275085,8,320,0.11008989810943604
80,10,8,0.9,baseline,1,0.17195073626742036,0.1253054440021515,0.00610933406278491,0.008362342603504658,8.0,8.0,0.8279131054878235,8,320,0.11213944107294083
80,10,8,0.9,baseline,2,0.19337862568279213,0.5513302683830261,0.009799383580684662,0.014435449615120888,8.0,8.0,0.8053199052810669,8,320,0.1047084704041481
80,10,8,0.9,baseline,3,0.1731921865591918,0.15684804320335388,0.011071699671447277,0.014862564392387867,8.0,8.0,0.8343341946601868,8,320,0.11382873356342316
80,10,8,0.9,baseline,4,0.18117484584485458,0.13148565590381622,0.009959511458873749,0.01276368461549282,7.999755859375,7.999755859375,0.8225665092468262,8,320,0.11536015570163727
80,10,8,0.9,input_at,0,0.3342920829512987,0.3814035654067993,0.009698339737951756,0.013138518668711185,7.9989013671875,7.999267578125,0.8479183316230774,8,320,0.10108958184719086
80,10,8,0.9,input_at,1,0.283103887665957,0.5016775131225586,0.0041825477965176105,0.006849296856671572,7.995849609375,7.9967041015625,0.8121421933174133,8,320,0.11193559318780899
80,10,8,0.9,input_at,2,0.377227255666043,0.524296760559082,0.0070185586810112,0.010369645431637764,8.0,8.0,0.8705808520317078,8,320,0.09511622041463852
80,10,8,0.9,input_at,3,0.26715093947135127,0.46798792481422424,0.008358321152627468,0.010335971601307392,8.0,8.0,0.8292366862297058,8,320,0.11048327386379242
80,10,8,0.9,input_at,4,0.36282662700537505,0.5273435711860657,0.011000461876392365,0.012145214714109898,8.0,8.0,0.8057263493537903,8,320,0.10826507955789566
80,10,8,0.9,lat,0,0.2044348775762528,0.45595529675483704,0.010247733443975449,0.01210855133831501,7.9993896484375,7.9998779296875,0.8532037734985352,8,320,0.11205288022756577
80,10,8,0.9,lat,1,0.19117490195482204,0.14812953770160675,0.01268323790282011,0.01383398100733757,8.0,8.0,0.8132173418998718,8,320,0.11644144356250763
80,10,8,0.9,lat,2,0.1930230008525471,0.5422560572624207,0.005369937047362328,0.007081158924847841,8.0,7.9998779296875,0.8320491909980774,8,320,0.11193481832742691
80,10,8,0.9,lat,3,0.18165562850345462,0.14720472693443298,0.010476198978722095,0.012304475530982018,8.0,8.0,0.8401027917861938,8,320,0.11907698214054108
80,10,8,0.9,lat,4,0.18446062097816096,0.17025887966156006,0.008561765775084496,0.010515037924051285,8.0,8.0,0.8267909288406372,8,320,0.11678020656108856
80,10,8,0.99,baseline,0,0.11677620250059621,0.22077806293964386,0.052791569381952286,0.06535918265581131,1.0,1.0,0.9555937051773071,1,320,0.10504414141178131
80,10,8,0.99,baseline,1,0.07483406164662927,0.25618261098861694,0.053824421018362045,0.06544618308544159,1.0,1.0,0.9755155444145203,1,320,0.11340197175741196
80,10,8,0.99,baseline,2,0.07631594713458444,0.26460933685302734,0.05973246321082115,0.06881090253591537,1.0,1.0,0.9783395528793335,1,320,0.10761293023824692
80,10,8,0.99,baseline,3,0.0710645910835551,0.11150286346673965,0.060404036194086075,0.07170291244983673,1.0,1.0,0.9225953817367554,1,320,0.11713011562824249
